,label,begin,end,uri
0,夏,-1989,,http://data.library.sh.cn/authority/temporal/4alljneqiivh5691
1,商,-1559,,http://data.library.sh.cn/authority/temporal/5et552ry5g8t8t1m
2,周,-1123,,http://data.library.sh.cn/authority/temporal/h49zie56z4d1gtq2
3,西周,-1046,,http://data.library.sh.cn/authority/temporal/8qs9fkfuknhhewht
4,东周,-770,,http://data.library.sh.cn/authority/temporal/cjnk46stusravcp5
5,春秋,-770,,http://data.library.sh.cn/authority/temporal/mpacvj7uvzbrfj6x
6,战国,-476,,http://data.library.sh.cn/authority/temporal/ksjisjzdlwskal1w
7,秦,-221,,http://data.library.sh.cn/authority/temporal/qs36fnjpp26jtw8s
8,西汉,-206,,http://data.library.sh.cn/authority/temporal/sbirtc1g5d7oz64i
9,汉,-206,,http://data.library.sh.cn/authority/temporal/95vht2jlgtwimv93
10,东汉,25,,http://data.library.sh.cn/authority/temporal/kefbb8iphd4t5e3c
11,三国,220,,http://data.library.sh.cn/authority/temporal/itrusbdhm298q5ma
12,晋,281,,http://data.library.sh.cn/authority/temporal/e4q96sxq5sqpcio3
13,西晋,281,,http://data.library.sh.cn/authority/temporal/xn8xoiqi5tl3kcez
14,东晋,317,,http://data.library.sh.cn/authority/temporal/21lxcapqduaqmaif
15,南北朝,420,,http://data.library.sh.cn/authority/temporal/5i5tfgls2eofno3s
16,隋,589,,http://data.library.sh.cn/authority/temporal/i9lwy7pb6y5rz8xo
17,唐,618,,http://data.library.sh.cn/authority/temporal/icdquglj1cgbekqk
18,五代,907,,http://data.library.sh.cn/authority/temporal/mcwzpg3bobv41ks9
19,北宋,960,,http://data.library.sh.cn/authority/temporal/1muluhi3chuyhtw1
20,宋,960,,http://data.library.sh.cn/authority/temporal/pizh5ypd5d17u795
21,南宋,1127,,http://data.library.sh.cn/authority/temporal/q1a7p1g2ke7vrfmi
22,元,1279,,http://data.library.sh.cn/authority/temporal/qafeg12mhoqfidor
23,明,1368,,http://data.library.sh.cn/authority/temporal/yex4deivsad41p9q
24,清,1644,,http://data.library.sh.cn/authority/temporal/7ase6ple2nud826q
25,南明,1644,,http://data.library.sh.cn/authority/temporal/n13f9bi8595hz274
26,民国,1912,,http://data.library.sh.cn/authority/temporal/7sl8ulx4ouipdbg2
27,当代,1950,,http://data.library.sh.cn/authority/temporal/j6mijtwmcfzq3t8b
